Task Text,Category,Difficulty,Deadline (days),Time Taken (hours),Importance
those calculus problems from class no rush,Homework,Medium,7,1.7,Low
prep for databases quiz,Quiz,Easy,2,1.3,High
do CHEM hw,Homework,Medium,5,2.4,Medium
lit midterm prep this week,Exam,Hard,5,6.1,Medium
oh no bioo exam tmr study literally tonight,Exam,Medium,1,3.9,High
solve calc problems 6 to 8,Homework,Easy,7,1.3,Low
dbms exam study due tmr,Exam,Hard,2,5.4,High
review chemm for quiz,Quiz,Hard,1,2.9,High
oh no software quiz lol whenever,Quiz,Hard,7,2.3,Low
review everything for physics exam - this week,Exam,Hard,3,6.6,Medium
finish bioo project urgent!!,Project,Easy,1,2.2,High
chemm presentation slides need to finish,Project,Easy,3,3.1,Medium
stats exam tmr study whenever,Exam,Hard,7,5.3,Low
English final project tmr 😭,Project,Medium,1,3.2,High
review database for quiz gotta do this,Quiz,Medium,4,1.2,Medium
stat project draft v1 lol whenever,Project,Hard,6,6.5,Low
hw nets ch3-4,Homework,Hard,6,3.2,Low
DB exam study scheduled,Exam,Medium,4,4.4,Medium
CHEM group project presentation,Project,Hard,3,5.1,Medium
algebra quiz tmr,Quiz,Hard,2,2.4,High
software hw?? ch10,Homework,Medium,3,1.5,Medium
finish PHYS project no rush,Project,Hard,7,4.5,Low
STATS hw sheet 1,Homework,Easy,3,1.4,Medium
quick dbms quiz study,Quiz,Easy,5,1.0,Medium
hw bio ch5-6,Homework,Medium,3,1.9,Medium
networking project report urgent!!,Project,Easy,1,3.0,High
MATH quiz 9 tmr,Quiz,Easy,2,1.0,High
that phys assignment someday,Homework,Hard,7,3.3,Low
CS project draft v3,Project,Hard,7,5.6,Low
revise stats for final - this week,Exam,Medium,5,4.0,Medium
physics presentation slides,Project,Medium,3,3.0,Medium
solve stats problems 6 to 12 ASAP!!,Homework,Medium,1,1.5,High
all nighter for review everything for nets exam tonight rn,Exam,Hard,1,5.9,High
submit CHEM assignment need to finish,Homework,Medium,4,2.6,Medium
CHEM quiz (ch4-6) tmr,Quiz,Easy,1,0.7,High
code assignment ch6,Homework,Hard,5,5.0,Medium
prep for bioo quiz idk when,Quiz,Easy,7,1.0,Low
prep for eng quiz tmr,Quiz,Hard,1,1.8,High
study for db final,Exam,Medium,4,4.9,Medium
deep learning finals study session need to finish,Exam,Medium,5,4.4,Medium
study for code midterm,Exam,Hard,5,6.0,Medium
research report stats,Project,Medium,3,4.6,Medium
database exam practice no rush tho,Exam,Hard,7,5.5,Low
cramming phys exam due tmr,Exam,Medium,2,3.4,High
study STATS ch2 for exam,Exam,Hard,3,4.1,Medium
finish chemistry project,Project,Medium,4,3.1,Medium
oh no study for phys final DUE TOMORROW,Exam,Medium,2,5.0,High
phys final exam study,Exam,Hard,3,6.0,Medium
write MATH report need to finish,Project,Easy,4,1.9,Medium
finish CS hw literally tonight,Homework,Easy,1,1.1,High
databases midterm prep whenever,Exam,Easy,6,2.0,Low
study for eng final need to finish,Exam,Hard,4,4.6,Medium
that big db project,Project,Hard,6,4.8,Low
network project draft v5,Project,Hard,5,4.4,Medium
quick comp sci quiz study,Quiz,Medium,6,0.5,Low
oh no code quiz,Quiz,Hard,5,2.1,Medium
writing hw problems 3-5 !!,Homework,Hard,2,3.2,High
write chemistry report - this week,Project,Hard,3,6.2,Medium
eng quiz prep gotta do this,Quiz,Hard,4,2.0,Medium
chemistry final project,Project,Hard,5,6.3,Medium
that Physics assignment,Homework,Easy,7,1.3,Low
revise for bio quiz tmr,Quiz,Medium,2,1.6,High
that big networking project no rush tho,Project,Hard,7,6.0,Low
programming exam study,Exam,Easy,7,3.9,Low
BIO exercises ch8 lol whenever,Homework,Easy,6,1.8,Low
the calc project thing this week,Project,Medium,5,3.1,Medium
study DB ch3 for exam need to finish,Exam,Medium,5,5.5,Medium
study for software midterm,Exam,Hard,5,4.2,Medium
need to review network for midterm,Exam,Hard,5,5.0,Medium
review programming for quiz whenever,Quiz,Medium,6,1.3,Low
that networks quiz tonight,Quiz,Hard,2,2.5,High
oh no coding quiz lol whenever,Quiz,Medium,6,1.1,Low
deep learning lab report due tmr!!,Project,Medium,2,2.6,High
finish maths assignment due tmr,Homework,Hard,1,4.5,High
DB quiz idk what chapters someday,Quiz,Easy,6,1.5,Low
code finals study session working on it,Exam,Medium,4,4.2,Medium
submit ml assignment,Homework,Easy,6,1.4,Low
lit exam tmr study idk when,Exam,Hard,7,5.8,Low
nets hw problems 2-4,Homework,Easy,5,0.9,Medium
oh no databases quiz - low priority,Quiz,Hard,6,2.3,Low
mini test Bio no rush tho,Quiz,Medium,7,1.2,Low
math quiz practice no rush tho,Quiz,Medium,7,0.8,Low
Bio project report,Project,Medium,4,3.3,Medium
review Stats for quiz tomorrow 😭,Quiz,Medium,1,0.6,High
the databases project thing idk when,Project,Medium,6,4.8,Low
MATH quiz eventually lol,Quiz,Easy,7,0.7,Low
study ML ch9 for exam,Exam,Medium,6,4.7,Low
review networking for quiz tmr!!,Quiz,Easy,2,0.8,High
machine learning final project - this week,Project,Hard,5,5.4,Medium
research report chemistry this week,Project,Medium,5,3.7,Medium
that nets quiz,Quiz,Hard,5,2.4,Medium
solve networking problems 6 to 10 lol whenever,Homework,Medium,6,3.1,Low
networks quiz idk what chapters lol whenever,Quiz,Easy,6,1.0,Low
hw English ch2-3 eventually lol,Homework,Hard,6,3.1,Low
finish English assignment working on it,Homework,Medium,4,1.5,Medium
phys problem set 8 !!,Homework,Easy,2,2.0,High
STATS project submission working on it,Project,Medium,4,2.5,Medium
that big DB project,Project,Hard,3,5.1,Medium
database assignment idk which one,Homework,Medium,3,1.8,Medium
study for networks midterm working on it,Exam,Medium,4,4.0,Medium
algebra test working on it,Quiz,Medium,5,1.5,Medium
database test working on it,Quiz,Medium,4,1.7,Medium
study for machine learning exam,Exam,Hard,6,5.7,Low
calculus quiz 7 - low priority,Quiz,Medium,7,0.6,Low
ugh physics quiz,Quiz,Hard,6,3.0,Low
Stats hw ch2 need to finish,Homework,Medium,5,3.2,Medium
stat quiz prep,Quiz,Hard,6,2.2,Low
biology hw (the hard one) ASAP!!,Homework,Medium,2,2.9,High
study for databases final ASAP!!,Exam,Hard,1,5.9,High
submit ml project this week,Project,Medium,5,4.9,Medium
research report English,Project,Hard,4,6.0,Medium
mini test ai,Quiz,Hard,6,1.9,Low
calculus project draft v1,Project,Medium,6,4.9,Low
BIO homework ch10 DUE TOMORROW,Homework,Easy,2,1.4,High
database midterm prep,Exam,Hard,3,4.4,Medium
statistics project draft v2,Project,Medium,7,4.9,Low
group project Physics - this week,Project,Hard,5,5.9,Medium
review phys notes for exam someday,Exam,Medium,7,5.1,Low
😭 study for networking final tmr!!,Exam,Hard,2,6.8,High
AI group project presentation,Project,Hard,5,4.5,Medium
coding finals study session whenever,Exam,Medium,6,4.8,Low
😭 nets midterm prep - due tomorrow,Exam,Easy,2,2.5,High
code slides tonight,Project,Hard,1,6.2,High
MATH final exam study someday,Exam,Hard,7,4.5,Low
those Physics problems from class need to finish,Homework,Medium,5,2.8,Medium
stat quiz idk what chapters tmr,Quiz,Easy,1,0.9,High
biology test - low priority,Quiz,Medium,6,1.0,Low
study for Bio midterm eventually lol,Exam,Hard,6,5.6,Low
finish calc hw literally tonight,Homework,Easy,2,1.5,High
revise ML for final due tonight,Exam,Easy,2,2.6,High
hw nets ch3-4 someday,Homework,Medium,6,2.4,Low
revise for DB quiz tomorrow 😭,Quiz,Medium,2,1.3,High
phys presentation slides gotta do this,Project,Easy,4,2.0,Medium
ppt for db project no rush tho,Project,Medium,6,5.2,Low
programming project research,Project,Hard,5,5.2,Medium
hw coding ch2-3 lol whenever,Homework,Medium,7,1.6,Low
STATS finals study session tomorrow 😭,Exam,Hard,1,5.2,High
those english problems from class,Homework,Medium,7,2.0,Low
STATS exam revision idk when,Exam,Easy,7,3.3,Low
study for CHEM exam,Exam,Hard,5,5.3,Medium
statistics quiz (ch1-3) this week,Quiz,Medium,4,1.6,Medium
study for chemistry quiz,Quiz,Hard,6,2.2,Low
comp sci project (group work) no rush tho,Project,Medium,7,4.2,Low
Physics pop quiz whenever,Quiz,Hard,6,2.3,Low
calculus hw ch3 literally tonight,Homework,Hard,2,4.0,High
review everything for STATS exam gotta do this,Exam,Hard,3,5.3,Medium
solve MATH problems 5 to 7,Homework,Medium,4,2.6,Medium
quiz review english this week,Quiz,Easy,5,1.2,Medium
CS test tmr,Quiz,Easy,2,0.9,High
stats final project ASAP,Project,Hard,1,4.4,High
stat project report,Project,Easy,2,2.0,High
mini test chemistry tmr!!,Quiz,Easy,1,0.6,High
quick bio quiz study tomorrow 😭,Quiz,Hard,1,2.9,High
finish lit hw idk when,Homework,Hard,6,3.7,Low
ml homework problems whenever,Homework,Hard,6,3.3,Low
chem project report,Project,Medium,5,3.9,Medium
review everything for database exam - this week,Exam,Hard,5,6.8,Medium
machine learning project research tonight,Project,Hard,2,5.4,High
Bio quiz (ch8-10) tonight,Quiz,Easy,1,1.4,High
dbms quiz ch8 eventually lol,Quiz,Easy,6,1.4,Low
stat quiz (ch6-8) eventually lol,Quiz,Medium,7,1.5,Low
work on PHYS project,Project,Medium,6,4.8,Low
prep for statistics midterm someday,Exam,Hard,6,4.6,Low
phys report draft,Project,Medium,4,2.8,Medium
those ai problems from class,Homework,Hard,3,4.1,Medium
group project AI urgent!!,Project,Medium,1,3.4,High
gotta study BIO exam,Exam,Hard,4,4.3,Medium
submit ml assignment ASAP!!,Homework,Hard,1,3.8,High
mini test network - this week,Quiz,Hard,4,2.6,Medium
that db assignment,Homework,Medium,5,3.4,Medium
study ml ch4 for exam tonight rn,Exam,Medium,2,3.6,High
cramming networks exam this week,Exam,Hard,3,6.6,Medium
study for calculus midterm - this week,Exam,Hard,5,4.8,Medium
do the ML hw gotta do this,Homework,Medium,4,2.5,Medium
that database quiz,Quiz,Easy,4,0.8,Medium
hw stat ch6-7 need to finish,Homework,Medium,3,2.4,Medium
the ml project thing tonight,Project,Medium,2,5.4,High
stat hw (the hard one) scheduled,Homework,Medium,5,2.4,Medium
finish phys assignment this week,Homework,Easy,4,0.8,Medium
CHEM weekly quiz tomorrow 😭,Quiz,Easy,1,1.3,High
work on stat project need to finish,Project,Hard,4,5.8,Medium
hw dbms ch10-11 lol whenever,Homework,Hard,7,4.6,Low
revise for phys quiz someday,Quiz,Hard,7,2.3,Low
gotta study physics exam,Exam,Medium,6,5.0,Low
study for BIO exam tonight rn,Exam,Medium,1,4.7,High
finish chemm hw,Homework,Medium,7,2.3,Low
write chemm report no rush tho,Project,Medium,7,3.7,Low
study for calculus quiz,Quiz,Medium,2,1.8,High
submit networks project gotta do this,Project,Hard,3,4.5,Medium
physics homework problems,Homework,Medium,4,2.9,Medium
group project chemistry due tmr!!,Project,Hard,2,5.2,High
hw AI ch10-11 tomorrow 😭,Homework,Medium,2,2.8,High
study for deep learning final working on it,Exam,Hard,3,6.9,Medium
forgot about revise STATS for final literally tonight,Exam,Hard,1,5.7,High
networking project draft v4,Project,Easy,3,2.3,Medium
ugh calculus quiz need to finish,Quiz,Easy,4,1.4,Medium
networks homework problems,Homework,Hard,5,5.0,Medium
stats hw ch2 no rush tho,Homework,Medium,7,2.2,Low
Networks final exam study working on it,Exam,Easy,3,2.6,Medium
ppt for english project tonight,Project,Medium,2,3.0,High
review chem for quiz tomorrow 😭,Quiz,Hard,1,2.2,High
quick maths quiz study,Quiz,Easy,3,1.4,Medium
Physics problem set 5 tomorrow 😭,Homework,Medium,1,3.4,High
study Physics ch9 for exam,Exam,Medium,3,3.2,Medium
code test tomorrow 😭,Quiz,Medium,2,0.6,High
finish networking hw this week,Homework,Easy,4,0.7,Medium
chemistry problem set 2,Homework,Medium,7,3.3,Low
that ML quiz tmr!!,Quiz,Hard,1,2.0,High
work on Networks project,Project,Medium,5,3.9,Medium
bioo hw?? ch3 gotta do this,Homework,Hard,4,4.1,Medium
cramming MATH exam someday,Exam,Easy,7,3.7,Low
write stat report,Project,Hard,2,6.8,High
oh no databases quiz no rush,Quiz,Easy,7,0.8,Low
finish CHEM project working on it,Project,Hard,4,5.4,Medium
network assignment ch3 DUE TOMORROW,Homework,Medium,2,2.1,High
FINAL EXAM programming,Exam,Medium,3,3.2,Medium
networking project draft v2 tmr 😭,Project,Easy,2,2.3,High
quick bioo quiz study,Quiz,Hard,3,2.3,Medium
calculus finals study session,Exam,Medium,6,4.4,Low
databases group project presentation gotta do this,Project,Hard,3,5.6,Medium
review calc for quiz,Quiz,Easy,5,1.1,Medium
review Bio notes for exam no rush tho,Exam,Medium,6,4.3,Low
review everything for ml exam this week,Exam,Easy,5,2.8,Medium
quick writing quiz study tmr,Quiz,Medium,1,1.3,High
ppt for chemm project ASAP,Project,Medium,1,4.7,High
quiz review ml,Quiz,Hard,1,2.6,High
study for ml midterm - due tomorrow,Exam,Hard,2,6.2,High
BIO quiz idk what chapters need to finish,Quiz,Hard,4,1.6,Medium
MATH exam tmr study idk when,Exam,Easy,7,3.5,Low
networking finals study session,Exam,Hard,4,6.1,Medium
chemm hw sheet 8,Homework,Hard,5,4.4,Medium
code project submission ASAP,Project,Medium,2,4.8,High
STATS slides tmr 😭,Project,Medium,1,5.2,High
do stat hw this week,Homework,Hard,4,3.5,Medium
quick networks quiz study,Quiz,Easy,6,0.5,Low
that bio assignment,Homework,Hard,4,2.5,Medium
code hw?? ch10 need to finish,Homework,Hard,5,4.6,Medium
PHYS quiz ch10 tmr,Quiz,Hard,1,2.7,High
review calculus for quiz gotta do this,Quiz,Hard,3,2.4,Medium
db project draft v4,Project,Hard,5,6.1,Medium
stat exam tmr study,Exam,Medium,5,3.8,Medium
review stats for quiz idk when,Quiz,Easy,7,1.4,Low
those english problems from class scheduled,Homework,Medium,5,2.7,Medium
prep for coding midterm someday,Exam,Medium,6,4.3,Low
CS homework ch9 tmr!!,Homework,Easy,1,1.5,High
Bio problem set 2,Homework,Medium,3,3.4,Medium
research report Bio,Project,Medium,4,5.4,Medium
work on machine learning project,Project,Hard,1,6.4,High
algebra hw sheet 7 due tonight,Homework,Easy,2,1.1,High
cramming nets exam tmr help,Exam,Medium,2,4.1,High
DB report draft,Project,Hard,5,5.0,Medium
dbms homework problems eventually lol,Homework,Easy,6,1.7,Low
solve dbms problems 4 to 7,Homework,Easy,7,1.3,Low
that statistics quiz this week,Quiz,Hard,5,2.6,Medium
stats homework ch2 - this week,Homework,Easy,4,0.9,Medium
dbms exercises ch2 due tmr,Homework,Hard,2,3.0,High
bioo project submission,Project,Easy,5,2.9,Medium
databases quiz prep idk when,Quiz,Easy,7,1.3,Low
study statistics ch4 for exam no rush tho,Exam,Hard,6,4.1,Low
review everything for machine learning exam - due tomorrow,Exam,Hard,2,6.7,High
forgot about study PHYS ch10 for exam tonight rn,Exam,Medium,1,3.7,High
finish software hw working on it,Homework,Hard,5,4.3,Medium
the Networks project thing,Project,Medium,1,5.0,High
dbms quiz prep,Quiz,Hard,6,2.9,Low
finish Stats hw,Homework,Easy,6,0.6,Low
finish Bio hw - due tomorrow,Homework,Hard,2,4.2,High
research report MATH urgent!!,Project,Medium,1,2.6,High
CS final project need to finish,Project,Easy,5,3.5,Medium
MATH quiz practice need to finish,Quiz,Easy,3,0.8,Medium
revise database for final idk when,Exam,Hard,6,5.4,Low
group project Stats urgent!!,Project,Hard,1,4.9,High
biology exercises ch4 tmr help,Homework,Medium,2,2.3,High
CHEM problem set 5 asap,Homework,Hard,2,4.0,High
coding exercises ch10 - this week,Homework,Medium,4,2.0,Medium
that big deep learning project,Project,Medium,3,4.9,Medium
the English project thing eventually lol,Project,Hard,7,5.4,Low
lit slides tmr 😭,Project,Hard,2,5.5,High
Stats quiz prep,Quiz,Easy,5,1.2,Medium
ugh chemm quiz tmr!!,Quiz,Easy,2,0.9,High
DB hw (the hard one) working on it,Homework,Medium,3,2.0,Medium
dbms exam revision no rush tho,Exam,Easy,7,2.3,Low
study for ml final,Exam,Hard,3,6.1,Medium
nets assignment idk which one,Homework,Easy,3,1.9,Medium
ugh phys quiz,Quiz,Easy,1,1.1,High
MATH lab report tmr 😭,Project,Hard,2,4.9,High
work on Networks project,Project,Medium,1,5.1,High
finish Chem hw gotta do this,Homework,Hard,5,4.3,Medium
that bioo quiz,Quiz,Medium,2,1.9,High
phys assignment idk which one,Homework,Easy,4,0.8,Medium
STATS assignment idk which one - low priority,Homework,Hard,6,4.8,Low
hw stat ch3-4 this week,Homework,Medium,4,2.5,Medium
Stats presentation slides ASAP,Project,Hard,2,6.3,High
review coding notes for exam eventually lol,Exam,Medium,6,4.2,Low
study for ml final,Exam,Easy,4,3.6,Medium
quick Physics quiz study this week,Quiz,Medium,4,1.4,Medium
db quiz (ch6-8) idk when,Quiz,Easy,7,1.1,Low
eng assignment ch5 idk when,Homework,Easy,7,0.5,Low
ppt for STATS project,Project,Medium,6,4.5,Low
Math report draft ASAP,Project,Medium,1,5.1,High
algebra assignment idk which one eventually lol,Homework,Hard,6,4.3,Low
need to review network for midterm,Exam,Easy,5,2.9,Medium
PHYS quiz,Quiz,Easy,3,1.0,Medium
chemm project submission this week,Project,Hard,3,5.3,Medium
quiz review databases,Quiz,Medium,6,1.4,Low
revise network for final gotta do this,Exam,Hard,5,4.4,Medium
algebra exercises ch4 due tmr,Homework,Medium,1,1.7,High
PHYS finals study session working on it,Exam,Medium,5,3.0,Medium
study for writing midterm,Exam,Hard,4,6.9,Medium
finish db project ASAP,Project,Medium,1,4.3,High
quick Bio quiz study,Quiz,Easy,5,1.2,Medium
bioo project submission ASAP,Project,Medium,2,3.3,High
the databases project thing need to finish,Project,Medium,4,4.6,Medium
BIO assignment ch6 no rush,Homework,Hard,6,2.9,Low
writing hw problems 9-11,Homework,Medium,7,2.2,Low
bioo project draft v5 - low priority,Project,Hard,7,5.5,Low
dbms midterm prep tmr!!,Exam,Hard,2,4.1,High
physics problem set 8 whenever,Homework,Easy,7,1.0,Low
that Networks assignment DUE TOMORROW,Homework,Medium,2,1.5,High
study for Physics midterm,Exam,Hard,7,6.4,Low
study for chemm final - low priority,Exam,Hard,6,6.4,Low
submit Math project tonight,Project,Medium,2,4.3,High
AI project research tonight,Project,Easy,2,3.7,High
write PHYS report tmr 😭,Project,Medium,1,2.5,High
that cs quiz,Quiz,Medium,3,1.3,Medium
Bio assignment idk which one - due tomorrow,Homework,Medium,2,1.8,High
Bio quiz idk what chapters gotta do this,Quiz,Hard,5,2.5,Medium
network midterm prep,Exam,Medium,4,3.2,Medium
English exam practice working on it,Exam,Medium,4,3.7,Medium
nets hw problems 10-13 tomorrow 😭,Homework,Hard,2,5.0,High
network hw?? ch6 whenever,Homework,Medium,6,2.9,Low
hw ML ch8-9,Homework,Easy,6,0.6,Low
work on dbms project due tmr!!,Project,Easy,1,2.2,High
